field,value,arabic
Morph_Tag,GERUND_STATE,مصدر هيئة/حالة
Morph_Tag,IMPERF_PREF,بادئة المضارع
Morph_Tag,INF_ANNUL_PART,حرف ناسخ (مصدري)
Morph_Tag,INF_SUBJUNC_PART,حرف نصب (مصدري)
Morph_Tag,INTERROG,استفهام
Morph_Tag,INTERROG_PART,أداة استفهام
Morph_Tag,INTERROG_PRON,ضمير استفهام
Morph_Tag,IV,فعل مضارع
Morph_Tag,IV1P,فعل مضارع (متكلم جمع)
Morph_Tag,IV1S,فعل مضارع (متكلم مفرد)
Morph_Tag,IV2MP,فعل مضارع (مخاطب مذكر جمع)
Morph_Tag,IV3FS,فعل مضارع (غائبة مؤنث مفرد)
Morph_Tag,IV3MP,فعل مضارع (غائب مذكر جمع)
Morph_Tag,IV3MS,فعل مضارع (غائب مذكر مفرد)
Morph_Tag,IVSUFF_DO:3MS,لاحقة مضارع: ضمير مفعول به (غائب مذكر مفرد)
Morph_Tag,IVSUFF_SUBJ:MP_MOOD:I,لاحقة مضارع: واو الجماعة/فاعل (حالة رفع)
Morph_Tag,IVSUFF_SUBJ:MP_MOOD:SJ,لاحقة مضارع: واو الجماعة/فاعل (حالة نصب)
Morph_Tag,IV_PASS,مضارع مبني للمجهول
Morph_Tag,JUSSIVE_PART,أداة جزم
Morph_Tag,KAAFA_MAKFOUFA,كاف مكفوفة
Morph_Tag,NEG_PART,أداة نفي
Morph_Tag,NOON_V5,نون الأفعال الخمسة
Morph_Tag,NOUN,اسم
Morph_Tag,NOUN_ABSTRACT,اسم معنوي/مجرد
Morph_Tag,NOUN_ACTIVE_PART,اسم فاعل
Morph_Tag,NOUN_CONCRETE,اسم محسوس
Morph_Tag,NOUN_DIMINUTIVE,اسم تصغير
Morph_Tag,NOUN_FIVE,الأسماء الخمسة
Morph_Tag,NOUN_INSTRUMENT,اسم آلة
Morph_Tag,NOUN_NUM,اسم عدد
Morph_Tag,NOUN_PASSIVE_PART,اسم مفعول
Morph_Tag,NOUN_PROP,اسم علم
Morph_Tag,NOUN_PROP_FOREIGN,اسم علم أعجمي
Morph_Tag,NOUN_RELATIVE,اسم موصول
Morph_Tag,NOUN_TIME_PLACE,اسم زمان/مكان
Morph_Tag,NOUN_VERB_LIKE,اسم فعل
Morph_Tag,NSUFF_FEM_DU_ACC,لاحقة اسمية: تثنية مؤنث (نصب)
Morph_Tag,NSUFF_FEM_DU_GEN,لاحقة اسمية: تثنية مؤنث (جر)
Morph_Tag,NSUFF_FEM_DU_NOM,لاحقة اسمية: تثنية مؤنث (رفع)
Morph_Tag,NSUFF_FEM_PL,لاحقة اسمية: جمع مؤنث سالم
Morph_Tag,NSUFF_FEM_SG,لاحقة اسمية: علامة مؤنث مفرد
Morph_Tag,NSUFF_MASC_DU_ACC,لاحقة اسمية: تثنية مذكر (نصب)
Morph_Tag,NSUFF_MASC_DU_GEN,لاحقة اسمية: تثنية مذكر (جر)
Morph_Tag,NSUFF_MASC_DU_GEN_POSS,لاحقة اسمية: تثنية مذكر (جر) مع إضافة/ملكية
Morph_Tag,NSUFF_MASC_DU_NOM,لاحقة اسمية: تثنية مذكر (رفع)
Morph_Tag,NSUFF_MASC_PL_ACC,لاحقة اسمية: جمع مذكر سالم (نصب)
Morph_Tag,NSUFF_MASC_PL_GEN,لاحقة اسمية: جمع مذكر سالم (جر)
Morph_Tag,NSUFF_MASC_PL_NOM,لاحقة اسمية: جمع مذكر سالم (رفع)
Morph_Tag,None,غير محدد
Morph_Tag,OBJ_PRON,ضمير مفعول به (متصل)
Morph_Tag,OTHER,أخرى
Morph_Tag,PART,حرف/أداة
Morph_Tag,POSS_PRON,ضمير ملكية (متصل)
Morph_Tag,POSS_PRON_1P,ضمير ملكية: متكلم جمع
Morph_Tag,POSS_PRON_1S,ضمير ملكية: متكلم مفرد
Morph_Tag,POSS_PRON_2MS,ضمير ملكية: مخاطب مذكر مفرد
Morph_Tag,POSS_PRON_3D,ضمير ملكية: غائب مثنى
Morph_Tag,POSS_PRON_3FS,ضمير ملكية: غائبة مؤنث مفرد
Morph_Tag,POSS_PRON_3MP,ضمير ملكية: غائب مذكر جمع
Morph_Tag,POSS_PRON_3MS,ضمير ملكية: غائب مذكر مفرد
Morph_Tag,PREFIX,بادئة (عام)
Morph_Tag,PREP,حرف جر
Morph_Tag,PRON,ضمير
Morph_Tag,PRON_1P,ضمير منفصل: متكلم جمع
Morph_Tag,PRON_1S,ضمير منفصل: متكلم مفرد
Morph_Tag,PRON_2MP,ضمير منفصل: مخاطب مذكر جمع
Morph_Tag,PRON_2MS,ضمير منفصل: مخاطب مذكر مفرد
Morph_Tag,PRON_3D,ضمير منفصل: غائب مثنى
Morph_Tag,PRON_3FP,ضمير منفصل: غائبة مؤنث جمع
Morph_Tag,PRON_3FS,ضمير منفصل: غائبة مؤنث مفرد
Morph_Tag,PRON_3MP,ضمير منفصل: غائب مذكر جمع
Morph_Tag,PRON_3MS,ضمير منفصل: غائب مذكر مفرد
Morph_Tag,PROTECT_NUN,نون الوقاية
Morph_Tag,PV,فعل ماضٍ
Morph_Tag,PVSUFF_DO:3FS,لاحقة ماضٍ: ضمير مفعول به (غائبة مؤنث مفرد)
Morph_Tag,PVSUFF_DO:3MP,لاحقة ماضٍ: ضمير مفعول به (غائب مذكر جمع)
Morph_Tag,PVSUFF_DO:3MS,لاحقة ماضٍ: ضمير مفعول به (غائب مذكر مفرد)
Morph_Tag,PVSUFF_SUBJ:1P,لاحقة ماضٍ: ضمير فاعل (متكلم جمع)
Morph_Tag,PVSUFF_SUBJ:1S,لاحقة ماضٍ: ضمير فاعل (متكلم مفرد)
Morph_Tag,PVSUFF_SUBJ:2MP,لاحقة ماضٍ: ضمير فاعل (مخاطب مذكر جمع)
Morph_Tag,PVSUFF_SUBJ:3FS,لاحقة ماضٍ: ضمير فاعل (غائبة مؤنث مفرد)
Morph_Tag,PVSUFF_SUBJ:3MP,لاحقة ماضٍ: ضمير فاعل (غائب مذكر جمع)
Morph_Tag,PVSUFF_SUBJ:3MS,لاحقة ماضٍ: ضمير فاعل (غائب مذكر مفرد)
Morph_Tag,PV_PASS,ماضٍ مبني للمجهول
Morph_Tag,RELATIVE_YA,ياء النسب/ياء الموصول
Morph_Tag,REL_ADV,ظرف موصول
Morph_Tag,REL_PRON,اسم موصول
Morph_Tag,SUBJUNC_PART,أداة نصب
Morph_Tag,SUBJ_PRON,ضمير فاعل (متصل)
Morph_Tag,SUFF,لاحقة (عام)
Morph_Tag,SUFF_FEM_TA,تاء التأنيث
Morph_Tag,UNINFLECTED_VERB,فعل جامد/غير متصرف
Morph_Tag,VOC_PART,أداة نداء
Morph_Tag,YES_NO_RESP_PART,أداة جواب (نعم/لا)
